,region,period_begin,period_end,period_duration,median_sale_price,homes_sold
1014523,"San Francisco, CA",2020-02-01,2020-02-29,30,1590000.0,111.0
1017676,"San Francisco, CA",2019-12-01,2019-12-31,30,1420000.0,175.0
1025480,"Seattle, WA",2021-10-01,2021-10-31,30,920000.0,678.0
1049575,"New York, NY",2020-06-01,2020-06-30,30,620000.0,486.0
1079489,"Atlanta, GA",2019-02-01,2019-02-28,30,278000.0,497.0
1083039,"Chicago, IL",2018-12-01,2018-12-31,30,215500.0,765.0
1093084,"Austin, TX",2019-03-01,2019-03-31,30,385000.0,959.0
1094571,"San Francisco, CA",2021-06-01,2021-06-30,30,1910000.0,294.0
1098192,"Los Angeles, CA",2020-01-01,2020-01-31,30,827000.0,1088.0
1111465,"Austin, TX",2020-01-01,2020-01-31,30,404000.0,600.0
1111730,"Chicago, IL",2019-04-01,2019-04-30,30,250000.0,871.0
1135634,"Denver, CO",2020-10-01,2020-10-31,30,560000.0,931.0
1135980,"Seattle, WA",2020-05-01,2020-05-31,30,800000.0,436.0
1139653,"New York, NY",2021-10-01,2021-10-31,30,694000.0,929.0
1140657,"New York, NY",2020-09-01,2020-09-30,30,623500.0,660.0
1159904,"New York, NY",2018-08-01,2018-08-31,30,595000.0,805.0
1169246,"San Francisco, CA",2020-04-01,2020-04-30,30,1675000.0,102.0
1169667,"Denver, CO",2018-08-01,2018-08-31,30,460000.0,923.0
1181508,"Los Angeles, CA",2020-02-01,2020-02-29,30,825000.0,1026.0
1185681,"Denver, CO",2019-06-01,2019-06-30,30,490000.0,961.0
1204045,"Denver, CO",2018-10-01,2018-10-31,30,465000.0,749.0
1205205,"Austin, TX",2020-04-01,2020-04-30,30,450000.0,782.0
1208866,"Boston, MA",2020-12-01,2020-12-31,30,692750.0,110.0
1209008,"Seattle, WA",2020-01-01,2020-01-31,30,772500.0,304.0
1218076,"San Francisco, CA",2020-07-01,2020-07-31,30,1653750.0,209.0
1234031,"Austin, TX",2021-02-01,2021-02-28,30,552000.0,659.0
1245800,"Raleigh, NC",2021-08-01,2021-08-31,30,433750.0,526.0
1261277,"Austin, TX",2018-01-01,2018-01-31,30,352500.0,615.0
1267504,"San Francisco, CA",2019-04-01,2019-04-30,30,1615000.0,221.0
1270166,"Seattle, WA",2021-09-01,2021-09-30,30,909000.0,630.0
1270987,"Los Angeles, CA",2018-08-01,2018-08-31,30,799000.0,1702.0
1281256,"New York, NY",2018-01-01,2018-01-31,30,569000.0,685.0
1282509,"Raleigh, NC",2021-12-01,2021-12-31,30,440000.0,458.0
1304951,"Boston, MA",2021-01-01,2021-01-31,30,694000.0,77.0
1312664,"New York, NY",2019-11-01,2019-11-30,30,619000.0,669.0
1325874,"Raleigh, NC",2020-06-01,2020-06-30,30,340000.0,530.0
1326283,"Los Angeles, CA",2021-03-01,2021-03-31,30,1087000.0,1779.0
1326788,"Seattle, WA",2020-02-01,2020-02-29,30,759000.0,311.0
1330008,"Los Angeles, CA",2020-09-01,2020-09-30,30,1000500.0,1687.0
1341364,"New York, NY",2018-06-01,2018-06-30,30,588000.0,713.0
1342587,"Austin, TX",2020-03-01,2020-03-31,30,437500.0,959.0
1347723,"Los Angeles, CA",2021-05-01,2021-05-31,30,1080000.0,1751.0
1355971,"Denver, CO",2020-08-01,2020-08-31,30,525000.0,821.0
1361904,"Austin, TX",2018-03-01,2018-03-31,30,380000.0,1037.0
1380801,"New York, NY",2018-05-01,2018-05-31,30,571000.0,674.0
1388125,"Los Angeles, CA",2020-05-01,2020-05-31,30,825500.0,764.0
1390694,"Chicago, IL",2018-05-01,2018-05-31,30,255000.0,1088.0
1392871,"Raleigh, NC",2020-09-01,2020-09-30,30,383000.0,541.0
1399329,"Atlanta, GA",2018-11-01,2018-11-30,30,361500.0,601.0
1403915,"New York, NY",2018-04-01,2018-04-30,30,568000.0,630.0
1409782,"Denver, CO",2021-01-01,2021-01-31,30,500000.0,485.0
1409849,"Seattle, WA",2018-03-01,2018-03-31,30,815000.0,480.0
1413634,"Chicago, IL",2018-10-01,2018-10-31,30,233000.0,875.0
1418896,"San Francisco, CA",2020-12-01,2020-12-31,30,1579000.0,267.0
1428755,"Austin, TX",2019-07-01,2019-07-31,30,424900.0,1207.0
1439706,"Los Angeles, CA",2021-12-01,2021-12-31,30,1125000.0,1703.0
1465498,"Boston, MA",2019-01-01,2019-01-31,30,625000.0,53.0
1468402,"Seattle, WA",2018-07-01,2018-07-31,30,806350.0,640.0
1470777,"Boston, MA",2019-10-01,2019-10-31,30,659500.0,74.0
