,Site,location,daily max mean,month,monthly max mean,count months,count
245752,EPA-66,Tipperary Town,55.41625,1,68.27741935483871,,12
238875,EPA-66,Tipperary Town,55.41625,3,42.504999999999995,,12
245031,EPA-66,Tipperary Town,55.41625,12,47.90967741935484,,12
244310,EPA-66,Tipperary Town,55.41625,11,33.778666666666666,,12
243543,EPA-66,Tipperary Town,55.41625,10,19.74,,12
242833,EPA-66,Tipperary Town,55.41625,9,12.28677419354839,,12
242224,EPA-66,Tipperary Town,55.41625,8,9.519629629629629,,12
241471,EPA-66,Tipperary Town,55.41625,7,13.064838709677419,,12
240747,EPA-66,Tipperary Town,55.41625,6,12.975999999999999,,12
240013,EPA-66,Tipperary Town,55.41625,5,13.981935483870968,,12
239305,EPA-66,Tipperary Town,55.41625,4,27.51666666666667,,12
282645,EPA-71,"Tralee Library, Co. Kerry",55.09666666666667,5,23.065483870967746,,12
289270,EPA-71,"Tralee Library, Co. Kerry",55.09666666666667,2,48.91357142857142,,12
288527,EPA-71,"Tralee Library, Co. Kerry",55.09666666666667,1,110.16096774193548,,12
287784,EPA-71,"Tralee Library, Co. Kerry",55.09666666666667,12,70.20354838709677,,12
287062,EPA-71,"Tralee Library, Co. Kerry",55.09666666666667,11,71.02166666666668,,12
286319,EPA-71,"Tralee Library, Co. Kerry",55.09666666666667,10,33.58225806451612,,12
281537,EPA-71,"Tralee Library, Co. Kerry",55.09666666666667,3,65.05500000000002,,12
284831,EPA-71,"Tralee Library, Co. Kerry",55.09666666666667,8,13.47129032258064,,12
284109,EPA-71,"Tralee Library, Co. Kerry",55.09666666666667,7,14.328064516129029,,12
283387,EPA-71,"Tralee Library, Co. Kerry",55.09666666666667,6,17.035666666666668,,12
281970,EPA-71,"Tralee Library, Co. Kerry",55.09666666666667,4,35.63857142857142,,12
285596,EPA-71,"Tralee Library, Co. Kerry",55.09666666666667,9,15.371333333333334,,12
229073,EPA-63,Wexford Opera House,57.5025,2,29.645,,12
221866,EPA-63,Wexford Opera House,57.5025,4,23.985416666666666,,12
222443,EPA-63,Wexford Opera House,57.5025,5,17.589032258064517,,12
223165,EPA-63,Wexford Opera House,57.5025,6,10.611000000000002,,12
223885,EPA-63,Wexford Opera House,57.5025,7,10.791612903225808,,12
225401,EPA-63,Wexford Opera House,57.5025,9,12.99,,12
226120,EPA-63,Wexford Opera House,57.5025,10,21.348064516129032,,12
226864,EPA-63,Wexford Opera House,57.5025,11,37.14200000000001,,12
227583,EPA-63,Wexford Opera House,57.5025,12,36.3983870967742,,12
228316,EPA-63,Wexford Opera House,57.5025,1,91.84096774193547,,12
221445,EPA-63,Wexford Opera House,57.5025,3,33.26937500000001,,12
224652,EPA-63,Wexford Opera House,57.5025,8,9.009677419354839,,12
